"Reference","Function"
"BZ1","BUZZER1"
"C1","Cen1"
"C2","Cvcc1"
"C3","Cbst1"
"C4","Cff1"
"C5","Cin1"
"C6","Cout1"
"C7","Cin2"
"C8","Cout2"
"C9","Cin3"
"C10","Cout3"
"C11","Cmcu1"
"C12","C_vdd1"
"C13","C_vdd2"
"C14","C_reg1"
"C15","C_en1"
"C16","C_esp1"
"C17","C_esp2"
"C18","C_esp3"
"C19","C_ntc1"
"D1","Dz1"
"D2","TVS1"
"D3","D_led1"
"D4","D_heat1"
"D5","D_fan1"
"D6","D_buz1"
"F1","F1"
"FB1","FB1"
"J1","J_dc1"
"J2","J2"
"J3","J_sens1"
"J4","J_display1"
"J5","J_heat1"
"J6","J_fan2"
"J7","J_ntc1"
"L1","L1"
"Q1","Q1"
"Q2","Q_boot1"
"Q3","Q_rst1"
"Q4","Q_heat1"
"Q5","Q_fan1"
"Q6","Q_buz1"
"R1","Ren_top1"
"R2","Ren_bot1"
"R3","Rg1"
"R4","Rpg1"
"R5","Rfb_top1"
"R6","Rfb_bot1"
"R7","R_vbus_top1"
"R8","R_vbus_bot1"
"R9","R_rst1"
"R10","R_cc1, R_cc2"
"R11","R_cc1, R_cc2"
"R12","R_en1"
"R13","R_io0"
"R14","R_pu_sda1"
"R15","R_pu_scl1"
"R16","R_s_scl1"
"R17","R_s_sda1"
"R18","R_led1"
"R19","R_btn1"
"R20","R_g_heat1"
"R21","R_pd_heat1"
"R22","R_btn2"
"R23","R_btn3"
"R24","R_btn4"
"R25","R_g_fan1"
"R26","R_pd_fan1"
"R27","R_buz1"
"R28","R_ntc1"
"SW1","SW1"
"SW2","SW2"
"SW3","SW_onoff1"
"SW4","SW_m1"
"SW5","SW_up1"
"SW6","SW_down1"
"TP1","TP1"
"TP2","TP2"
"TP3","TP3"
"TP4","TP4"
"TP5","TP7"
"TP6","TP5"
"TP7","TP6"
"U1","U2"
"U2","U3"
"U3","U4"
"U4","U1"
