Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,BUZ_Loudity_SMT67_8.5x8.5,1,LD-BZEL-T67-0808,LD-BZEL-T67-0808
C1,1210,1,10u,GRM32EC72A106KE05L
C10,1210,1,47u,LMK325B7476KM-PR
C11,0805,1,22u,C45783
C12,0603,1,4u7,C19666
"C13, C14, C18, C19",0603,4,100n,C14663
"C15, C17",0603,2,1u,C5199872
C16,0805,1,10u,C15850
"C2, C6",0603,2,100n,CC0603KRX7R9BB104
C20,0603,1,560p,06035A561JAT2A
"C21, C22",0603,2,1u,GCM188R71E105KA64J
C3,0805,1,1u,GRJ21BC72A105KE11L
C4,0603,1,33n,GCM188R71H333KA55D
C5,CP_Panasonic_F_8x10.2,1,100u,EEEFK1H101P
C7,0805,1,330n,GRM219R71H334KA88D
C8,0603,1,39p,C0603C390J5GACTU
C9,0805,1,18n,GRM21B5C1H183JA01L
D1,SOT-23,1,BZX84C15-7-F,C500789
D2,D_SMB,1,SMBJ28A,C96335
D3,0805,1,LED_Small,C5569446
"D4, D5",Nexperia_CFP3_SOD-123W,2,PMEG6020ER,C98663
D6,D_SOD-123,1,1N4148W,C81598
D7,D_SOD-128,1,PMEG6030EP,PMEG6030EP.115
F1,1206,1,T3A/63V,C354897
FB1,1206,1,BLM31KN601SH1L,C357023 
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,DC Connector,B3B-XH-A (LF)(SN)
J2,USB_C_GCT_USB4216-03-A,1,USB_C_Receptacle_USB2.0_16P,USB4216-03-A
J3,JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical,1,Sensor,B4B-PH-SM4-TB (LF)(SN)
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Heater Connector,Kit HALJIA XH-compatible 2P
J6,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,1,Fan Connector,B2B-PH-SM4-TB (LF)(SN)
J7,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,1,NTC Connector,C161690
L1,L_Bourns_SRN6045,1,15u,SRN6045-150M
Q1,TO-252-2,1,NTD20P06LT4G,C93034
"Q2, Q3, Q6",SOT-23,3,MMBT3904,C94514
Q4,TO-252-2,1,IRLR3636TRPBF,C67279
Q5,SOT-23,1,IRLML2060TRPBF,C75882
Q7,SOT-23,1,MMBT3904,MMBT3904
R1,0603,1,270k,RC0603FR-07270KL
"R10, R11",0603,2,5k1,C23186
"R12, R13, R14, R15, R19, R22, R23, R24",0603,8,10k,C25804
"R16, R17",0603,2,33,C23140
R18,0603,1,330,C23138
R2,0603,1,22k,RC0603FR-0722KL
"R20, R25",0603,2,100,C22775
"R21, R26, R3",0603,3,100k,C25803
R27,0603,1,470,C23179
R28,0603,1,47k,C25819
R29,0603,1,47k5,RC0603FR-0747K5L
"R30, R4",0603,2,47k,RC0603FR-0747KL
"R31, R37, R5, R6",0603,4,100k,RC0603FR-07100KL
R32,0603,1,15k,RC0603FR-0715KL
"R33, R34",0603,2,16k,RC0603FR-0716KL
R35,0603,1,1k13,ERA3AEB1131V
R36,0603,1,49k9,RC0603FR-0749K9L
R7,0603,1,22k1,C25961
R8,0603,1,47k5,C23061
R9,0603,1,1k,C21190
"SW1, SW2, SW3, SW4, SW5, SW6",SW_GCT_SWT0110,6,~,SWT0110-020010SSA
U1,SOT-23-5,1,TLV1701,TLV1701AIDBVR
U2,CP2102_GM_QFN28_5x5_P0.5_EP3.25,1,CP2102-GM,CP2102-GM
U3,SOT-23-6,1,AKS1201,C7519
U4,ESP32-WROOM-32E,1,ESP32-WROOM-32E-N4,ESP32-WROOM-32E-N4
U5,SOP65P640X120-17N,1,L7987L,L7987L
