Designator,Mid X,Mid Y,Rotation,Layer
BZ1,14.046,-6.868,0.0,top
C1,82.523,-2.83,90.0,bottom
C10,63.219,-4.862,90.0,bottom
C11,57.631,-4.354,270.0,bottom
C12,28.778,-46.746,270.0,bottom
C13,31.332,-45.883,180.0,bottom
C14,31.318,-44.359,180.0,bottom
C15,6.059,-25.751,90.0,bottom
C16,1.233,-25.497,90.0,bottom
C17,4.535,-25.751,90.0,bottom
C18,3.011,-25.751,90.0,bottom
C19,10.631,-25.751,90.0,bottom
C2,84.418,-14.514,180.0,bottom
C20,77.814,-14.26,270.0,bottom
C21,85.18,-3.592,270.0,bottom
C22,31.332,-42.835,180.0,bottom
C3,79.729,-5.37,270.0,bottom
C4,80.237,-7.91,180.0,bottom
C5,86.196,-22.642,270.0,bottom
C6,69.823,-3.846,270.0,bottom
C7,80.491,-10.196,0.0,bottom
C8,76.935,-10.45,0.0,bottom
C9,74.141,-9.688,270.0,bottom
D1,66.624,-31.0705,180.0,bottom
D2,79.324,-29.8005,90.0,bottom
D3,37.414,-40.238,0.0,bottom
D4,79.2,-49.1045,0.0,bottom
D5,57.734,-42.2465,0.0,bottom
D6,7.442,-8.9,90.0,top
D7,67.019,-4.1,90.0,bottom
F1,79.578,-36.983,90.0,bottom
FB1,60.171,-4.862,90.0,bottom
J1,86.952,-34.493,270.0,bottom
J2,49.0,-47.8,0.0,bottom
J3,24.0,-5.686,180.0,bottom
J5,86.704,-45.9477,270.0,bottom
J6,65.072,-45.5485,270.0,bottom
J7,7.95,-7.218,180.0,bottom
L1,64.352,-10.831,0.0,bottom
Q1,71.528,-36.586,180.0,bottom
Q2,24.714,-35.666,270.0,bottom
Q3,28.27,-35.666,270.0,bottom
Q4,76.862,-44.206,180.0,bottom
Q5,57.988,-45.2793,0.0,bottom
Q6,4.394,-7.884,270.0,top
Q7,84.926,-7.402,180.0,bottom
R1,88.482,-14.006,270.0,bottom
R10,45.683,-41.692,0.0,bottom
R11,52.287,-41.819,180.0,bottom
R12,7.583,-25.751,270.0,bottom
R13,16.586,-49.947,180.0,bottom
R14,9.982,-49.947,180.0,bottom
R15,6.68,-49.947,0.0,bottom
R16,3.378,-49.947,0.0,bottom
R17,13.284,-49.947,180.0,bottom
R18,33.8755,-40.238,0.0,bottom
R19,13.0,-18.902,0.0,top
R2,86.958,-14.006,90.0,bottom
R20,75.1868,-48.8505,180.0,bottom
R21,71.958,-48.8505,180.0,bottom
R22,13.0,-30.904,0.0,top
R23,71.0,-18.902,0.0,top
R24,71.007,-31.158,0.0,top
R25,58.496,-48.0733,0.0,bottom
R26,58.5452,-49.5973,180.0,bottom
R27,4.394,-10.678,0.0,top
R28,9.111,-25.751,90.0,bottom
R29,70.702,-14.26,270.0,bottom
R3,70.942,-30.8165,90.0,bottom
R30,88.228,-4.1,90.0,bottom
R31,79.455,-14.26,90.0,bottom
R32,81.37,-14.26,270.0,bottom
R33,76.935,-8.926,0.0,bottom
R34,72.109,-9.688,270.0,bottom
R35,76.036,-14.26,90.0,bottom
R36,74.258,-14.26,270.0,bottom
R37,3.646,-12.99,90.0,top
R4,72.48,-14.26,270.0,bottom
R5,88.482,-10.958,90.0,bottom
R6,88.228,-7.402,90.0,bottom
R7,27.254,-46.746,90.0,bottom
R8,25.73,-46.746,270.0,bottom
R9,24.206,-46.746,90.0,bottom
SW1,39.954,-46.842,90.0,bottom
SW2,34.874,-46.842,270.0,bottom
SW3,13.0,-15.0,270.0,top
SW4,13.0,-27.0,270.0,top
SW5,71.0,-15.0,270.0,top
SW6,71.0,-27.0,270.0,top
U1,84.418,-11.466,90.0,bottom
U2,26.492,-41.762,0.0,bottom
U3,48.985,-40.422,270.0,bottom
U4,6.352,-38.066,270.0,bottom
U5,74.649,-5.116,0.0,bottom
