Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,CSSI4B20SMTTR,1,CSS-I4B20-SMT-TR,CSS-I4B20-SMT-TR
"C11, C6, C8",0805,3,22u,CC0805MKX5R8BB226
C12,0603,1,4u7,CL10A475KO8NNNC
"C13, C14, C18, C19, C3, C9",0603,6,100n,CC0603KRX7R9BB104
"C15, C17, C2",0603,3,1u,GCM188R71E105KA64J
C16,0805,1,10u,CC0805KRX5R8BB106
C4,0603,1,47p,CL10C470JC8NNNC
C5,EEE0JA331XP,1,100u,EEE-FTH101XAP
C7,1210,1,10u,CL32B106KMVNNWE
D1,SOT-23,1,BZX84C15,BZX84C15-7-F
D2,D_SMB,1,SMBJ28A,SMBJ28A
D3,0805,1,LED_Small,HSMG-C170
"D4, D5",Nexperia_CFP3_SOD-123W,2,PMEG6020ER,PMEG6020ER-QX
D6,D_SOD-123,1,1N4148W,1N4148W-7-F
F1,1206,1,T3A/63V,SF-1206S300W-2
FB1,1206,1,BLM31KN601SH1L,BLM31KN601SH1L
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,DC Connector,B3B-XH-A(LF)(SN)
J2,USB421603A,1,USB4216-03-A,USB4216-03-A
J3,JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical,1,Sensor,B4B-PH-SM4-TB(LF)(SN)
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Heater Connector,Kit HALJIA XH-compatible 2P
J6,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,1,Fan Connector,B2B-PH-SM4-TB(LF)(SN)
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,NTC Connector,Kit HALJIA XH-compatible 2P
L1,XAL4040-822MEC_HandSolder,1,8u2,XAL4040-822MEC
Q1,TO-252-2,1,DMP6180SK3-13,DMP6180SK3-13
"Q2, Q3, Q6",SOT-23,3,MMBT3904,MMBT3904-7-F
Q4,TO-252-2,1,IRLR3636TRPBF,IRLR3636TRPBF
Q5,SOT-23,1,DMN6140L-13,DMN6140L-13
"R1, R21, R26, R3, R5",0603,5,100k,RC0603FR-07100KL
"R10, R11",0603,2,5k1,RC0603FR-075K1L
"R12, R13, R14, R15, R19, R22, R23, R24",0603,8,10k,RC0603FR-0710KL
"R16, R17",0603,2,33,RC0603FR-0733RL
R18,0603,1,330,RC0603FR-07330RL
"R20, R25",0603,2,100,CR0603-FX-1000ELF
R27,0603,1,470,RC0603FR-07470RL
R28,0603,1,47k,CRCW060347K0FKEA
R6,0603,1,31k6,RC0603FR-1331K6L
R7,0603,1,22k1,RC0603FR-1322K1L
R8,0603,1,47k5,RC0603FR-0747K5L
R9,0603,1,1k,RC0603FR-071KL
"SW1, SW2, SW3, SW4, SW5, SW6",SWT0110020010SSA,6,~,SWT0110-020010SSA
U1,AP66200_U-QFN4040-16_EP2.6x2.6mm_P0.65mm,1,AP66200QFVBW-13,AP66200QFVBW-13
U2,CP2102N_GQFN28_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-A02-GQFN28R,CP2102N-A02-GQFN28R
U3,SOT-23-6,1,82400102,82400102
U4,ESP32-WROOM-32E,1,ESP32-WROOM-32E-N4,ESP32-WROOM-32E-N4
