Designator,Mid X,Mid Y,Rotation,Layer
BZ1,10.0,-7.5,0.0,top
C11,67.757,-15.323,90.0,bottom
C12,28.778,-46.746,270.0,bottom
C13,31.318,-44.46,180.0,bottom
C14,31.318,-42.936,180.0,bottom
C15,6.168,-26.268,90.0,bottom
C16,1.342,-26.014,90.0,bottom
C17,4.644,-26.268,90.0,bottom
C18,3.12,-26.268,90.0,bottom
C19,10.74,-26.268,90.0,bottom
C2,89.347,-5.29,90.0,bottom
C3,85.537,-10.37,180.0,bottom
C4,85.537,-2.255,270.0,bottom
C5,88.5,-15.958,180.0,bottom
C6,72.583,-11.64,90.0,bottom
C7,91.77,-7.726,90.0,bottom
C8,72.583,-15.323,270.0,bottom
C9,89.347,-8.338,270.0,bottom
D1,69.672,-31.348,90.0,bottom
D2,82.372,-30.078,90.0,bottom
D3,37.414,-40.238,0.0,bottom
D4,82.248,-49.382,0.0,bottom
D5,60.782,-42.524,0.0,bottom
D6,7.696,-13.822,0.0,top
F1,82.626,-37.2605,90.0,bottom
FB1,70.17,-14.688,270.0,bottom
J1,90.0,-34.7705,270.0,bottom
J2,49.0,-47.8,0.0,bottom
J5,90.0,-46.2252,270.0,bottom
J6,68.12,-45.826,270.0,bottom
J7,7.95,-7.218,180.0,bottom
L1,78.425,-13.672,0.0,bottom
Q1,74.576,-36.8635,180.0,bottom
Q2,24.714,-35.666,270.0,bottom
Q3,28.27,-35.666,270.0,bottom
Q4,79.91,-44.4835,180.0,bottom
Q5,61.036,-45.5568,0.0,bottom
Q6,12.522,-14.9165,270.0,top
R1,81.219,-8.846,180.0,bottom
R10,45.034,-41.0,0.0,bottom
R11,52.908,-41.0,180.0,bottom
R12,7.692,-26.268,270.0,bottom
R13,16.586,-49.128,180.0,bottom
R14,9.982,-49.128,180.0,bottom
R15,6.68,-49.128,0.0,bottom
R16,3.378,-49.128,0.0,bottom
R17,13.284,-49.128,180.0,bottom
R18,33.8755,-40.238,0.0,bottom
R19,19.0,-18.902,0.0,top
R20,78.2348,-49.128,180.0,bottom
R21,75.006,-49.128,180.0,bottom
R22,19.0,-34.904,0.0,top
R23,79.0,-18.902,0.0,top
R24,79.007,-35.158,0.0,top
R25,61.544,-48.3508,0.0,bottom
R26,61.5932,-49.8748,180.0,bottom
R27,7.95,-16.108,0.0,top
R28,9.22,-26.268,90.0,bottom
R3,73.99,-31.094,90.0,bottom
R5,83.759,-2.265,270.0,bottom
R6,88.468,-2.265,90.0,bottom
R7,27.254,-46.746,90.0,bottom
R8,25.73,-46.746,270.0,bottom
R9,24.206,-46.746,90.0,bottom
SW1,39.954,-46.842,90.0,bottom
SW2,34.874,-46.842,270.0,bottom
SW3,19.0,-15.0,270.0,top
SW4,19.0,-31.0,270.0,top
SW5,79.0,-15.0,270.0,top
SW6,79.0,-31.0,270.0,top
U1,85.537,-6.814,0.0,bottom
U2,26.492,-41.762,0.0,bottom
U3,48.9125,-39.73,270.0,bottom
U4,6.352,-38.066,270.0,bottom
